date,open_price,close_price,lowest_price,highest_price,volume,L1_CP_R,CP_HP_R,CP_LP_R,L5_CP_SMA,L5_CP_SMA_R,L10_CP_SMA,L10_CP_SMA_R,L20_CP_SMA,L20_CP_SMA_R,L30_CP_SMA,L30_CP_SMA_R,L5_TV_SMA,L5_TV_SMA_R,L10_TV_SMA,L10_TV_SMA_R,L20_TV_SMA,L20_TV_SMA_R,L30_TV_SMA,L30_TV_SMA_R
2014-02-17,8.5625,8.4525,8.4375,8.6075,4820996.0,-0.013710618436406086,-0.018007551553877343,0.001777777777777878,8.609,-0.018178650249738526,8.4995,-0.005529737043355354,8.592749999999999,-0.016321899275551832,8.734283333333334,-0.03226175778588969,3324543.2,0.4501228319126669,2841248.8,0.6967876941998181,2527618.6,0.9073273159170454,2344696.8,1.056127683545267
2014-02-18,8.41,8.5675,8.34,8.63,4341204.0,0.013605442176870763,-0.007242178447276926,0.027278177458033737,8.5935,-0.0030255425612381037,8.52125,0.005427607451958361,8.572375,-0.0005686872074539551,8.7172,-0.01717294544119663,3809096.8,0.139693798277849,2973092.8,0.4601643110500957,2650255.8,0.6380320722248773,2406017.2,0.8043112908752272
2014-02-19,8.5625,8.5825,8.545,8.64,1255008.0,0.0017508024511232456,-0.006655092592592671,0.004388531304856613,8.5735,0.001049746311308164,8.552249999999999,0.003537080885147148,8.548125,0.0040213497111938334,8.700166666666666,-0.013524645121741008,3462696.0,-0.6375633321550607,2848881.2,-0.5594733820420452,2641450.2,-0.5248791743262848,2355596.6666666665,-0.46722288337420526
2014-02-20,8.615,8.67,8.5225,8.7075,2243916.0,0.010195164579085425,-0.004306632213608941,0.017307128190084953,8.5685,0.011845713952266967,8.58275,0.01016573941918364,8.534875,0.015832100645879477,8.687166666666666,-0.0019760950060433435,3159012.8,-0.2896780918393239,2853392.0,-0.21359701015493138,2649753.2,-0.15316037735137,2337453.3333333335,-0.04001677038828588
2014-02-23,8.705,8.84,8.6808,8.8925,5333732.0,0.019607843137254832,-0.005903851560303597,0.018339323564648513,8.6225,0.025224702812409294,8.619,0.02564102564102555,8.543,0.03476530492801122,8.681333333333333,0.018276762402088753,3598971.2,0.48201574938971437,3146088.8,0.695353290727204,2799365.0,0.9053363887881716,2461437.7333333334,1.16691729706156
2014-02-24,8.8525,8.8025,8.7,8.88,3173352.0,-0.004242081447963786,-0.008727477477477485,0.011781609195402387,8.692499999999999,0.012654587287892038,8.65075,0.017541831633095306,8.551125,0.029396716806268097,8.672166666666666,0.015028923952107531,3269442.4,-0.029390455081881872,3296992.8,-0.03750108280491238,2856006.2,0.1111152349739295,2521512.533333333,0.25851129353894686
2014-02-25,8.6675,8.8725,8.4775,8.9725,8143156.0,0.007952286282306265,-0.011145165784340993,0.04659392509584204,8.753499999999999,0.01359456217513011,8.6735,0.022943448434887825,8.562875,0.0361590003357517,8.669583333333332,0.023405584659009326,4029832.8,1.0207180804126663,3919464.8,1.0776193729307124,3170125.0,1.5687176373171403,2720962.2666666666,1.9927485947740942
2014-02-26,8.9125,9.09,8.9125,9.25,4587924.0,0.024513947590870666,-0.017297297297297343,0.019915848527349178,8.855,0.026538678712591635,8.714250000000002,0.0431190291763488,8.58925,0.05829961870943334,8.671666666666665,0.04824139919277348,4696416.0,-0.023101020011855877,4079556.0,0.1246135608875083,3330293.2,0.37763365700053075,2834181.466666667,0.6187827257920582
2014-02-27,9.115,9.1075,9.06,9.195,3260584.0,0.0019251925192518282,-0.009516041326808056,0.005242825607064017,8.9425,0.018451216102879364,8.7555,0.04020330078236545,8.612874999999999,0.057428558988723344,8.675416666666667,0.04980548484702929,4899749.6,-0.33454068754860444,4029381.2,-0.19079783267961847,3414359.8,-0.04503795997129534,2870832.0,0.13576273359081958
2014-03-02,9.065,9.04,8.9563,9.1075,1870568.0,-0.0074114740598408835,-0.0074114740598408835,0.009345376997197397,8.9825,0.006401335930976915,8.8025,0.026980971314967128,8.636375,0.046735464821756834,8.67875,0.04162465792884906,4207116.8,-0.5553800645610789,3903044.0,-0.5207412470881702,3418846.0,-0.4528656745580234,2884588.0,-0.3515302705273682
2014-03-03,9.1175,9.1575,9.1075,9.215,2669960.0,0.012997787610619538,-0.006239826370048718,0.005489980785067239,9.0535,0.011487270116529613,8.873000000000001,0.03206356361997065,8.686250000000001,0.05425241041876516,8.686166666666667,0.05426252470403137,4106438.4,-0.34981126223639447,3687940.4,-0.27602951501060047,3264594.6,-0.18214653666338854,2914392.533333333,-0.08387083432915732
2014-03-04,9.14,9.195,9.075,9.2063,1724704.0,0.004095004095004073,-0.0012274203534536898,0.013223140495867813,9.117999999999999,0.008444834393507517,8.935749999999999,0.02901267381025674,8.7285,0.05344560921120456,8.6935,0.05768677747742568,2822748.0,-0.3889982385958647,3426290.4,-0.4966264389031356,3199691.6,-0.4609780517597384,2908934.0,-0.4071010205112938
2014-03-05,9.1675,9.205,9.1575,9.28,2374356.0,0.0010875475802065715,-0.008081896551724088,0.0051870051870051,9.141,0.0070014221638770024,8.998000000000001,0.02300511224716595,8.775125,0.048987906155183,8.698083333333333,0.058279122795251936,2380034.4,-0.0023858478684173345,3538225.2,-0.3289415269553787,3193553.2,-0.25651590836188365,2940375.2,-0.19249897087963475
2014-03-06,9.2425,9.205,9.1725,9.29,1166968.0,0.0,-0.00914962325080726,0.0035431997819570515,9.160499999999999,0.004857813438131187,9.0515,0.016958515163232546,8.817125,0.04399109687114566,8.707083333333333,0.05718524190075125,1961311.2,-0.40500620197345527,3430530.4,-0.6598286958774655,3141961.2,-0.6285861200322906,2910012.2666666666,-0.5989817591605112
2014-03-09,9.1775,9.21,9.1575,9.255,1329264.0,0.0005431830526887449,-0.004862236628849215,0.005733005733005836,9.1945,0.0016857904181848404,9.0885,0.013368542663805938,8.853750000000002,0.04023718763235906,8.724833333333333,0.05560755697339026,1853050.4,-0.28266171281687746,3030083.6,-0.5613111136603623,3088086.2,-0.5695508758790477,2876271.2,-0.5378516462564449
2014-03-10,9.2225,9.0925,9.0825,9.2225,1049408.0,-0.012757871878393168,-0.014095960965031296,0.0011010184420587876,9.1815,-0.009693405217012563,9.1175,-0.002741979709350195,8.884125000000001,0.02345475778424988,8.739916666666666,0.04034172713317252,1528940.0,-0.3136368987664656,2817689.2,-0.6275643175975547,3057341.0,-0.6567579475105982,2843233.8666666667,-0.6309104177806173
2014-03-11,9.0375,9.085,9.0025,9.1175,1514828.0,-0.0008248556502610249,-0.0035645736221551205,0.00916412107747866,9.1595,-0.008133631748457715,9.13875,-0.005881548351798549,8.906125,0.020084492413928734,8.754833333333332,0.03771250166574669,1486964.8,0.01873830503586893,2154856.4,-0.2970167292818212,3037160.6,-0.501235463149364,2831702.1333333333,-0.4650468415557455
2014-03-12,9.1025,8.905,8.8775,9.1375,1904168.0,-0.019812878370941256,-0.025444596443228495,0.0030977189524077353,9.0995,-0.02137480081323162,9.120250000000002,-0.023601326718017956,8.91725,-0.0013737419047351596,8.766250000000001,0.015827748467132308,1392927.2,0.3670262164454827,1886480.8,0.009375764651301965,2983018.4,-0.3616640111908126,2849022.4,-0.3316416185425569
2014-03-13,8.89,8.9,8.8225,8.98,1205204.0,-0.0005614823133069935,-0.008908685968819552,0.008784358175120577,9.0385,-0.015323339049621132,9.0995,-0.021924281553931557,8.9275,-0.003080369644357317,8.775083333333333,0.014235382380034522,1400574.4,-0.13949305370710752,1680942.8,-0.283019029558888,2855162.0,-0.5778859483279758,2836554.1333333333,-0.5751168695011919
2014-03-16,8.915,8.975,8.8725,9.0175,1120192.0,0.008426966292134797,-0.0047130579428888986,0.01155255001408828,8.9915,-0.0018350664516488813,9.093,-0.012977015286484095,8.94775,0.003045458355452446,8.788583333333333,0.021211230478935583,1358760.0,-0.17557773263858223,1605905.2,-0.30245446617895,2754474.6,-0.5933191760054712,2814532.4,-0.6019971203742405
2014-03-17,8.98,9.06,8.9635,9.06,1640820.0,0.009470752089136614,0.0,0.010765883862330572,8.985000000000001,0.008347245409014992,9.08325,-0.0025596565106100755,8.978125,0.009119387399930456,8.818583333333333,0.02737590126910039,1477042.4,0.11088212498165251,1502991.2,0.09170299866027154,2595465.8,-0.3678128989409145,2677393.466666667,-0.38715768883876167
2014-03-18,9.065,9.05,8.9875,9.08,1004776.0,-0.001103752759381904,-0.0033039647577092213,0.006954102920723182,8.978,0.008019603475161619,9.06875,-0.002067539627842785,9.00225,0.005304229498181101,8.841916666666666,0.023533736086633006,1375032.0,-0.2692708242426358,1430998.4,-0.2978496691540675,2428644.4,-0.5862811369173684,2610127.2,-0.6150471134127103
2014-03-19,9.045,9.045,8.98,9.0575,985756.0,-0.0005524861878454246,-0.0013800717637316717,0.007238307349665796,9.006,0.004330446369087193,9.05275,-0.0008560934522658936,9.025375,0.002174424885392545,8.867666666666668,0.01999774461526882,1191349.6,-0.17257201412582845,1292138.4,-0.237112680808805,2415181.8,-0.5918501870128369,2559748.2666666666,-0.6149011944507876
2014-03-20,9.065,9.1675,9.0125,9.26,7313104.0,0.01354339414040906,-0.009989200863930847,0.017198335644937668,9.0595,0.01192118770351569,9.049,0.013095369654105626,9.050250000000002,0.012955443219800467,8.894416666666666,0.030702781707625748,2412929.6,2.0307987435688135,1906752.0,2.835372402913436,2668641.2,1.7403848820141126,2730224.8,1.6785721087875256
